Nome,Descricao
Maré de Sangue,"Vladimir paga com a própria Vida para carregar uma reserva de sangue que, quando desferida, causa dano em área ao seu redor, mas pode ser bloqueada por unidades inimigas."
Hemopraga,"Vladimir infecta uma área com uma praga virulenta. Inimigos afetados recebem dano crescente enquanto durar o efeito. Depois de alguns segundos, Hemopraga causa Dano Mágico aos inimigos infectados e cura Vladimir a cada Campeão inimigo atingido."
Warwick,a Ira Desimpedida de Zaun
Fome Eterna,"Os ataques básicos de Warwick causam Dano Mágico adicional. Se ele estiver com menos de 50% de Vida, cura a si mesmo com a mesma quantia. Se ele estiver com menos de 25% de Vida, a cura é triplicada."
Presas da Fera,"Warwick lança-se à frente e morde seu alvo, causando dano com base em sua Vida máxima e curando a si mesmo com o dano causado."
Caçada Sangrenta,"Warwick percebe inimigos com menos de 50% Vida, recebendo Velocidade de Movimento ao movimentar-se na direção deles e Velocidade de Ataque ao afastar-se deles. Se ficarem com menos de 20% de Vida, ele entra em frenesi e os efeitos são triplicados."
Viktor,o Arauto das Máquinas
Evolução Gloriosa,Viktor pode aprimorar suas habilidades básicas quando abater inimigos.
Poder do Sifão,"Viktor explode uma unidade inimiga, causando Dano Mágico, recebendo um escudo e fortalecendo seu próximo ataque básico.

Aprimoramento: O escudo de Poder do Sifão aumenta em 60% e Viktor recebe Velocidade de Movimento adicional na conjuração."
Campo Gravítico,"Viktor conjura um campo gravitacional pesado que causa Lentidão a inimigos em seu raio de ação. Inimigos que permanecerem no dispositivo por tempo demais são Atordoados.

Aprimoramento: habilidades não periódicas de Viktor causam Lentidão aos inimigos."
Raio da Morte,"Viktor usa seu braço robótico para disparar um feixe caótico que corta o campo em linha reta, causando dano a todos os inimigos no trajeto.

Aprimoramento: Uma explosão segue o rastro de Raio da Morte, causando Dano Mágico."
Tempestade do Caos,"Viktor conjura uma singularidade no campo que causa Dano Mágico e interrompe canalizações de inimigos. Em seguida, a singularidade causa Dano Mágico periodicamente a todos os inimigos próximos. Viktor pode redirecionar a singularidade.

Aprimoramento: a Tempestade do Caos se move 25% mais rápido."
Viego,O Rei Destruído
Dominação Monárquica,"Inimigos derrotados por Viego se tornam Espectros. Ao atacá-los, Viego toma controle do corpo do inimigo morto temporariamente, curando-se em um percentual da Vida máxima do alvo e ganhando acesso a seus itens e habilidades básicas. Ele substitui a ultimate da vítima por uma conjuração gratuita de sua própria ultimate."
Espada do Rei Destruído,"A lâmina espectral de Viego causa uma porcentagem da Vida atual do alvo como dano adicional ao contato de forma passiva e atinge duas vezes os inimigos recentemente afetados por uma Habilidade, roubando Vida.

Viego pode ativar essa Habilidade para golpear, perfurando inimigos à frente."
Posse Espectral,"Viego carrega antes de avançar, lançando uma esfera de Névoa Negra concentrada que atordoa o primeiro inimigo atingido."
Domínio Atormentado,"Viego ordena que a Névoa Negra assombre e cerque uma porção de terreno. Ele pode se esconder na Névoa como um Espectro, recebendo Camuflagem, Velocidade de Movimento e Velocidade de Ataque."
Destruidor de Corações,"Viego teleporta-se para um local próximo e executa um Campeão inimigo ao chegar, atravessando seu coração e liberando uma onda de choque destrutiva que empurra os inimigos."
Vi,a Defensora de Piltover
Blindagem,Vi carrega um escudo ao longo do tempo que pode ser ativado ao atingir um inimigo com uma habilidade.
Quebra-Cofres,"Vi carrega suas manoplas e desfere um soco capaz de quebrar cofres, empurrando-a para frente. Os inimigos que ela atingir são empurrados para trás e recebem um acúmulo de Pancada Certeira."
Pancada Certeira,"Os socos de Vi quebram a Armadura de seu oponente, causando dano adicional e concedendo a ela Velocidade de Ataque."
Força Excessiva,"O próximo ataque de Vi atravessará seu alvo, causando dano aos inimigos atrás dele."
Saque e Enterrada,"Vi persegue um inimigo em alta velocidade, empurrando para longe qualquer um em seu trajeto. Ao alcançar o alvo, ela o arremessa ao ar, salta atrás dele e o golpeia de volta ao chão."
Volibear,a Tempestade Implacável
A Tempestade Implacável,"Os Ataques e habilidades de Volibear concedem Velocidade de Ataque e, às vezes, fazem com que seus Ataques causem Dano Mágico adicional a inimigos próximos."
Esmagamento Trovejante,"Volibear ganha velocidade ao correr na direção dos inimigos, Atordoando e causando dano ao primeiro que Atacar."
Fúria Selvagem,"Volibear causa dano a um inimigo, marcando-o e aplicando efeitos ao contato.  Conjurar a habilidade novamente no mesmo alvo causa dano adicional e cura Volibear."
Divisor de Céus,"Volibear invoca um relâmpago em um local, causando dano e Lentidão aos inimigos. Ele também ganhará um Escudo se estiver no raio da explosão."
Emissário da Tempestade,"Volibear salta até um local-alvo, causando dano e Lentidão aos inimigos sob ele, além de receber Vida adicional.  Torres inimigas próximas ao local de pouso são temporariamente Desabilitadas."
Vel'Koz,o Olho do Vazio
Desconstrução Orgânica,"As habilidades de Vel'Koz aplicam Desconstrução Orgânica nos inimigos ao contato. Ao chegar a 3 acúmulos, o inimigo receberá uma rajada de Dano Verdadeiro."
Fissão Plasmática,Vel'Koz dispara um projétil de plasma que se divide em dois ao ser reativado ou ao atingir um inimigo. O projétil causa dano e redução de velocidade a inimigos ao contato.
Fenda do Vazio,"Vel'Koz abre uma fenda ao Vazio que causa uma rajada inicial de dano, explodindo em seguida para causar mais dano após um breve intervalo."
Ruptura Tectônica,"Vel'Koz faz com que uma área exploda, arremessando inimigos ao ar e afastando inimigos próximos."
Raio Desintegrador de Formas de Vida,"Vel'Koz desfere um raio canalizado que segue o cursor por 2,5s, causando Dano Mágico. Desconstrução Orgânica pesquisa Campeões inimigos, fazendo com que recebam Dano Verdadeiro em vez de Dano Mágico."
Último Suspiro,"Teletransporta-se para um Campeão inimigo arremessado ao ar, causando Dano Físico e mantendo no ar todos os inimigos da área que foram arremessados ao ar. Concede o máximo de Fluxo, mas zera todos os acúmulos de Tempestade Crescente

Por um período moderado a seguir, os Acertos Críticos de Yasuo recebem Penetração de Armadura adicional significativa."
Uivo Primitivo,"Warwick recebe redução de dano por 2,5 segundos. Ao fim do efeito, ou caso seja reativado, ele uiva, fazendo com que inimigos próximos fujam por 1 segundo."
Coerção Infinita,"Warwick salta em uma direção (escalando com a Velocidade de Movimento adicional dele), suprimindo o primeiro Campeão atingido por 1,5s."
Veigar,o Pequeno Mestre do Mal
Poder Maligno Fenomenal,Veigar é o maior ser maligno a chegar ao coração de Runeterra - e vai ficar cada vez maior! Atingir um Campeão inimigo com uma habilidade ou executar um golpe final concede a Veigar um aumento permanente de Poder de Habilidade.
Golpe Maligno,Veigar faz um disparo de energia das trevas que causa Dano Mágico aos dois primeiros inimigos atingidos. Unidades abatidas por este disparo concedem a ele um pouco de Poder de Habilidade permanentemente.
Matéria Escura,"Veigar invoca uma grande massa de Matéria Escura que cai do céu sobre o local-alvo, causando Dano Mágico ao chegar no chão. Os acúmulos de Poder Maligno Fenomenal reduzem o Tempo de Recarga de Matéria Escura."
Horizonte de Eventos,"Veigar distorce os limites do espaço, criando uma prisão que Atordoa os inimigos que a atravessam."
Explosão Primordial,"Explode o Campeão-alvo inimigo, causando uma grande quantia de Dano Mágico, que aumenta com base na Vida perdida do alvo."
Varus,a Flecha da Vingança
Vingança Viva,"Ao conseguir um abate ou assistência, Varus recebe Velocidade de Ataque temporariamente. O efeito é maior se o inimigo for um Campeão."
Flecha Perfurante,"Varus prepara um poderoso disparo, que ganha alcance e dano extra quanto mais demorar para ser lançado."
Aljava da Ruína,"Passivo: Os ataques básicos de Varus causam Dano Mágico adicional e aplicam Arruinar. As outras habilidades de Varus detonam os acúmulos de Arruinar, causando Dano Mágico com base na Vida máxima do alvo. Ativo: Varus fortalece sua próxima Flecha Perfurante."
Chuva de Flechas,"Varus dispara uma chuva de flechas que causa Dano Físico e profana o terreno. Terrenos profanados reduzem a Velocidade de Movimento, autocura e regeneração dos inimigos."
Corrente da Corrupção,"Varus lança um tentáculo de corrupção que causa dano e imobiliza o primeiro Campeão inimigo atingido, espalhando-se ainda para os Campeões inimigos próximos que ainda não estiverem infectados, imobilizando-os ao contato."
Vayne,a Caçadora Noturna
Caçadora Noturna,"Vayne caça implacavelmente os malfeitores, ganhando 30 de Velocidade de Movimento ao se deslocar em direção a Campeões inimigos próximos."
Rolamento,"Vayne dá uma cambalhota, equilibrando-se para efetuar seu próximo disparo. Seu próximo ataque causará dano adicional."
Dardos de Prata,"Vayne aprimora suas flechas com um metal raro, tóxico a qualquer coisa maligna. A cada terceiro ataque consecutivo ou habilidade contra o mesmo alvo causa um percentual da Vida máxima do alvo como Dano Verdadeiro adicional."
Condenar,"Vayne puxa uma pesada besta de suas costas e dispara um gigantesco projétil em seu alvo, arremessando-o para trás e causando dano. Caso colida com terreno, ele fica empalado, o que lhe causa dano adicional e atordoamento."
Hora Final,"Preparando-se para um confronto épico, Vayne recebe Dano de Ataque aumentado, invisibilidade durante o Rolamento, Tempo de Recarga do Rolamento reduzido e mais Velocidade de Movimento adicional de Caçadora Noturna"
Urgot,o Encouraçado
Chamas Ecoantes,"Os ataques básicos de Urgot e Expurgar disparam periodicamente explosões de chamas de suas pernas, causando Dano Físico."
Carga Corrosiva,"Detona uma carga explosiva no local-alvo, causando Dano Físico e reduzindo a velocidade dos inimigos atingidos pela explosão."
Expurgar,Urgot reduz sua velocidade enquanto descarrega sua arma contra inimigos próximos. Prioriza Campeões inimigos que tenha atingido recentemente com outras habilidades e aciona Chamas Ecoantes.
Desdém,"Urgot avança em uma direção, protegendo-se com um escudo e pisoteando inimigos não Campeões. Se atingir um Campeão inimigo, ele para e o arremessa para fora de seu caminho."
Pior que a Morte,"Urgot dispara uma broca química que perfura o primeiro Campeão inimigo atingido. Se esse Campeão ficar abaixo de um limite mínimo de Vida, Urgot o julgará fraco e o executará."
Udyr,o Andarilho Espiritual
Agilidade do Macaco,Udyr recebe Velocidade de Movimento e Velocidade de Ataque cumulativas após conjurar uma Habilidade. Ele tem quatro Habilidades básicas que podem ser usadas para alternar entre as Posturas. Alterar a Postura encerra imediatamente o efeito passivo e o efeito ao contato da Postura anterior.
Postura do Tigre,Postura do Tigre: Ativação - A Velocidade de Ataque de Udyr aumenta por alguns segundos. Efeito persistente - O primeiro ataque e cada terceiro ataque seguinte de Udyr causam dano adicional ao longo de 2 segundos.
Postura da Tartaruga,"Postura da Tartaruga: Ativação - Udyr recebe um escudo temporário que absorve dano. Efeito persistente - O primeiro ataque e cada terceiro ataque subsequente de Udyr o curam com 2,5% de sua Vida máxima."
Postura do Urso,Postura do Urso: Ativação - Udyr aumenta sua Velocidade de Movimento por uma curta duração. Efeito persistente - Os ataques básicos de Udyr atordoam seu alvo por 1 segundo. Este efeito não pode ocorrer novamente no mesmo alvo por muitos segundos.
Postura da Fênix,"Postura da Fênix: Ativação - Udyr desfere ondas pulsantes de fogo, causando dano a inimigos próximos. Efeito persistente - O primeiro ataque básico e a cada três ataques conseguintes de Udyr cobrem inimigos à sua frente com chamas."
Twitch,o Semeador da Peste
Veneno Mortal,"Os ataques básicos de Twitch infectam o alvo, causando Dano Verdadeiro a cada segundo."
Emboscada,"Twitch fica Camuflado por um curto período e recebe Velocidade de Movimento. Ao sair da Camuflagem, Twitch recebe Velocidade de Ataque por um curto período.

Quando um Campeão inimigo com Veneno Mortal é abatido, o Tempo de Recarga de Emboscada é reiniciado."
Tonel de Veneno,"Twitch joga um tonel de veneno que explode em uma área, causando Lentidão e veneno mortal aos alvos."
Contaminar,Twitch causa ainda mais destruição em inimigos envenenados com uma explosão de suas pestes.
Passando Fogo,"Twitch desfere o poder total de sua besta, fazendo disparos de longuíssimo alcance que perfuram todos os inimigos pegos em seu trajeto."
Twisted Fate,o Mestre das Cartas
Dados Viciados,"Ao abater uma unidade, Twisted Fate rola seu dado da ''sorte'' e recebe de 1 a 6 de ouro adicional."
Tryndamere,o Rei Bárbaro
Fúria da Batalha,"Tryndamere recebe Fúria para cada ataque, acerto crítico e golpe fatal que realiza. A Fúria passivamente aumenta a sua Chance de Acerto Crítico e pode ser consumida com a habilidade Sanguinário."
Sanguinário,"Tryndamere prospera com o calor do combate, aumentando seu próprio Dano de Ataque conforme for ficando mais e mais ferido. Ele pode conjurar Sanguinário para consumir sua Fúria e curar a si mesmo."
Grito Zombador,"Tryndamere solta um grito insultante, diminuindo o Dano de Ataque dos Campeões próximos. Inimigos que estiverem de costas para Tryndamere também têm sua Velocidade de Movimento reduzida."
Corte Giratório,"Tryndamere avança em direção a uma unidade-alvo, causando dano aos inimigos em seu trajeto."
Fúria Sem Fim,"O desejo de Tryndamere pela batalha se torna tão forte que ele fica incapaz de morrer, não importa o quão ferido ele esteja."
Curingas,"Twisted Fate arremessa três cartas, causando dano a cada inimigo que elas atravessam."
Escolha uma Carta,"Twisted Fate escolhe uma carta mágica de seu baralho e a usa em seu próximo ataque, causando efeitos adicionais."
Baralho Marcado,"A cada 4 ataques, Twisted Fate causa dano adicional. Além disso, sua Velocidade de Ataque aumenta."
Destino,"Twisted Fate prevê o futuro de seus adversários, revelando todos os Campeões inimigos e habilitando o uso de Portal, que o teleporta para qualquer local-alvo em 1,5s."
Trundle,o Rei dos Trolls
Tributo do Rei,"Quando uma unidade inimiga morre perto de Trundle, ele é curado em um percentual da Vida máxima desta unidade."
Mordida,"Trundle morde seu oponente, causando dano, brevemente reduzindo sua Velocidade de Movimento e drenando parte de seu Dano de Ataque."
Domínio Congelado,"Trundle transforma o local-alvo em seu domínio, recebendo Velocidade de Ataque, Velocidade de Movimento e cura aprimorada de todas as fontes enquanto estiver sobre a região."
Pilar de Gelo,"Trundle cria um pilar de gelo no local-alvo, tornando-o um terreno intransponível e causando Lentidão a todas as unidades inimigas próximas."
Subjugar,"Trundle imediatamente rouba um percentual da Vida, Armadura e Resistência Mágica de seu alvo. Ao longo dos próximos 4 segundos, a quantia de Vida, Armadura e Resistência Mágica roubada é dobrada."
Tristana,a Artilheira Yordle
Tiro Certeiro,Aumenta o Alcance de Ataque de Tristana conforme ela sobe de nível.
Tiro Rápido,"Tristana dispara rapidamente com seu canhão, aumentando sua Velocidade de Ataque por um curto período de tempo."
Salto-foguete,"Tristana dispara no chão para lançar-se ao local-alvo, causando dano e reduzindo a Velocidade de Movimento das unidades ao seu redor por um breve momento ao aterrissar."
Carga Explosiva,"Quando Tristana abate uma unidade, seus projéteis explodem com estilhaços, causando dano a inimigos próximos. Isso pode ser ativado para posicionar uma bomba em um alvo inimigo, que explodirá após uma curta duração, causando dano a unidades ao seu redor."
Tiro Destruidor,"Tristana carrega uma gigantesca bala de canhão em sua arma e a dispara em uma unidade inimiga. Isso causa Dano Mágico e empurra o alvo para trás. Se o alvo estiver carregando uma bomba da Carga Explosiva, o raio de explosão da bomba é dobrado."
Thresh,o Guardião das Correntes
Condenação,"Thresh pode colher a alma de inimigos que morrerem perto dele, recebendo Armadura e Poder de Habilidade permanentemente."
Sentença,Thresh prende um inimigo em suas correntes e puxa em sua direção. Ativar essa habilidade uma segunda vez puxa Thresh em direção ao inimigo.
Passagem Sombria,Thresh arremessa uma lanterna que protege Campeões aliados próximos contra danos. Aliados podem clicar na lanterna para avançar na direção de Thresh.
Esfolar,"Os ataques de Thresh são fortalecidos, causando mais dano quanto mais tempo ele esperar entre ataques. Ao ativar, Thresh arrasta sua corrente e empurra todos os inimigos atingidos na direção do golpe."
A Caixa,Uma prisão de paredes que causam dano e Lentidão se quebradas.
Teemo,o Explorador Veloz
Técnicas de Guerrilha,"Se Teemo permanecer imóvel e não fizer nada por um curto período, fica Invisível por tempo indefinido. Caso esteja em um arbusto, Teemo pode manter sua Invisibilidade enquanto se move. Ao sair da Invisibilidade, Teemo ativa Elemento Surpresa, aumentando a própria Velocidade de Ataque por alguns segundos."
Dardo Ofuscante,"Obscurece a visão de um inimigo com um poderoso veneno, causando dano à unidade-alvo e cegando-a pela duração do efeito."
Mover Depressa,"Teemo corre por aí, aumentando passivamente sua Velocidade de Movimento até que seja atingido por um Campeão ou torre inimiga. Ele pode sair em disparada para receber Velocidade de Movimento adicional que não é interrompida por ataques por um certo período."
Tiro Tóxico,"Cada um dos ataques de Teemo envenenará o alvo, causando dano no impacto e a cada segundo seguinte por 4 segundos."
Armadilha Venenosa,"Teemo arremessa uma armadilha venenosa explosiva usando um dos cogumelos que guardou na mochila. Se um inimigo pisar na armadilha, ela soltará uma nuvem venenosa que causa dano e reduz a velocidade de inimigos ao longo do tempo. Se Teemo arremessar um cogumelo em cima de outro, ele saltará, recebendo alcance adicional."
Talon,a Sombra da Lâmina
Limiar da Lâmina,"As habilidades de Talon causam Ferimentos em Campeões e monstros grandes, acumulando até 3 vezes. Quando Talon ataca um Campeão com 3 acúmulos de Ferimento, o alvo sofre intenso dano de sangramento ao longo do tempo."
Diplomacia Noxiana,"Talon apunhala a unidade alvo. Caso eles estejam próximos o suficiente para um ataque corpo a corpo, o ataque causa dano crítico. Caso estejam fora do alcance corpo a corpo, Talon saltará no alvo e o apunhalará. Talon recupera um pouco da vida e do Tempo de Recarga caso sua habilidade abata o alvo."
Ancinho,"Talon envia um voleio de adagas que retorna a ele, causando Dano Físico a cada vez que passar por um inimigo. As lâminas que retornarem causam dano adicional e reduzem a velocidade da unidade."
Caminho do Assassino,"Talon salta sobre quaisquer terrenos ou estruturas, até uma distância máxima. Esta habilidade possui um Tempo de Recarga baixo, mas deixa o terreno inutilizável por um longo período de tempo."
Ataque das Sombras,"Talon dispara um anel de lâminas e fica Invisível ao mesmo tempo em que recebe Velocidade de Movimento adicional. Quando Talon surge da Invisibilidade, as lâminas convergem em sua direção. A cada vez que a lâmina se move, Ataque das Sombras causa Dano Físico aos inimigos atingidos por ao menos uma lâmina."
Taliyah,a Tecelã de Pedras
Deslizar em Pedras,Taliyah recebe Velocidade de Movimento próxima a paredes.
Voleio Entrelaçado,"Taliyah arremessa uma rajada de projéteis na direção-alvo, movimentando-se livremente durante o arremesso. Isso manipula o terreno sob ela. Se Taliyah conjurar Voleio Entrelaçado em terreno manipulado, ela arremessa somente um projétil."
Empurrão Sísmico,Taliyah faz com que uma área do terreno irrompa e arremesse inimigos na direção de sua escolha.
Terra Desfiada,Taliyah cria um campo minado de redução de velocidade que explode caso inimigos o atravessem rapidamente ou sejam empurrados/puxados através dele.
Muro da Tecelã,Taliyah cria uma parede comprida e desliza sobre ela.
Tahm Kench,o Rei do Rio
Um Gosto Adquirido,"Tahm Kench usa o próprio corpo para impulsionar os Ataques, causando dano adicional com base na Vida total dele. Causar dano a Campeões inimigos aumenta os acúmulos de Um Gosto Adquirido. Com três acúmulos, ele pode usar Devorar em um Campeão inimigo."
Língua-chicote,"Tahm Kench ataca com a língua, causando dano e Lentidão à primeira unidade atingida, além de se curar se a unidade for um Campeão inimigo.

Aplica um acúmulo de Um Gosto Adquirido a Campeões inimigos. Se o Campeão já tiver 3 acúmulos de Um Gosto Adquirido, ele será Atordoado e os acúmulos serão consumidos."
Mergulho Abissal,"Mergulha e reaparece no local-alvo, causando dano e Arremessando ao ar todos os inimigos em uma área."
Pele Grossa,"Passivo: Tahm Kench armazena uma porcentagem do dano sofrido e se cura com base nela quando fora de combate.

Ativo: converte todo o dano armazenado em um Escudo temporário."
Devorar,"Tahm Kench devora um Campeão por alguns segundos, causando Dano Mágico se for um inimigo ou concedendo Escudo se for um aliado."
Syndra,a Soberana Sombria
Transcender,"As habilidades de Syndra recebem efeitos adicionais no nível máximo.

Esfera Negra: dano adicional contra Campeões.
Determinação: Dano Verdadeiro adicional.
Dispersar os Fracos: largura aumentada.
Poder Irrestrito: alcance aumentado."
Esfera Negra,"Syndra conjura uma Esfera Negra, causando Dano Mágico. A esfera permanece em seu lugar e pode ser manipulada por seus outros poderes."
Determinação,"Syndra apanha e arremessa uma Esfera Negra ou tropa inimiga, causando Dano Mágico e reduzindo a Velocidade de Movimento de inimigos."
Dispersar os Fracos,"Syndra afasta inimigos e Esferas Negras, causando Dano Mágico. Inimigos atingidos pelas Esferas Negras ficam atordoados."
Poder Irrestrito,Syndra bombardeia um Campeão inimigo com todas as suas Esferas Negras.
Sylas,o Abjugado
Explosão de Petricita,"Após conjurar uma habilidade, Sylas armazena uma carga de Explosão de Petricita.  Seus ataques básicos gastam uma carga e agitam as correntes energizadas ao redor dele, causando Dano Mágico adicional a inimigos atingidos. Enquanto Sylas tiver uma carga de Explosão de Petricita, ele recebe Velocidade de Ataque. "
Correntes-Chicote,"Sylas chicoteia com suas correntes, que se intersectam no local-alvo, causando dano e reduzindo a velocidade dos inimigos. 

Após um intervalo, há uma explosão de energia mágica no ponto da intersecção, causando dano."
Regicida,"Sylas avança em um inimigo com uma força mágica, causando dano e curando-se contra Campeões inimigos."
Evasão / Abdução,"Sylas avança por uma curta distância, podendo reconjurar a habilidade para arremessar suas correntes e se arrastar na direção do inimigo atingido."
Usurpar,Sylas rouba a habilidade ultimate do inimigo e pode conjurá-la sem custo.
Swain,o Grande General Noxiano
Bando Voraz,"Os corvos de Swain coletam Fragmentos de Alma que o curam e aumentam permanentemente a Vida máxima dele. Swain pode clicar com o botão direito em um Campeão inimigo imobilizado para puxá-lo para perto, causando dano e arrancando um Fragmento de Alma."
Mão da Morte,Swain dispara vários raios de poder sombrio que perfuram os inimigos. Inimigos atingidos sofrem mais dano para cada raio que os atingir.
Visão do Império,Swain abre um olho demoníaco que causa dano e reduz a velocidade dos inimigos. Campeões atingidos são revelados e concedem um Fragmento de Alma a Swain.
Nuncamova,"Swain lança uma onda de poder demoníaco para a frente, que então retorna para ele e enraiza os inimigos que atinge."
Ascensão Demoníaca,"Swain se transforma em demônio e drena Vida de Campeões, tropas e monstros neutros próximos. Ele pode conjurar Chama Demoníaca para dizimar inimigos próximos com uma explosão de fogo espiritual, causando dano equivalente à quantidade de Vida drenada por ele e encerrando sua transformação."
Soraka,a Filha das Estrelas
Shyvana,a Meio-Dragão
Fúria da Meio-Dragão,"Shyvana causa dano adicional a dragões, além de receber Armadura e Resistência Mágica. Conforme Shyvana e seus aliados abatem mais dragões, ela recebe mais Armadura e Resistência Mágica."
Mordida Dupla,"Shyvana golpeia duas vezes no seu próximo ataque. Ataques básicos reduzem o Tempo de Recarga de Mordida Dupla em 0,5 segundo.

Forma de Dragão: Mordida Dupla fere todas as unidades à frente de Shyvana."
Combustão,"Shyvana rodeia-se com fogo, causando Dano Mágico por segundo a inimigos próximos e movimentando-se mais rápido por 3 segundos; parte deste dano é aplicada novamente quando os ataques básicos de Shyvana acertam um inimigo com o efeito de Combustão ativo. A Velocidade de Movimento é reduzida ao longo da duração da habilidade. Ataques básicos prolongam a duração de Combustão. 

Forma de Dragão: Combustão cresce em tamanho."
Hálito Flamejante,"Shyvana desfere uma bola de fogo que causa dano a todos os inimigos que atingir e deixa os alvos em brasa, marcando-os por 5 segundos. Os ataques básicos de Shyvana em alvos marcados causam um percentual de sua Vida máxima como dano ao contato.

Forma de Dragão: Hálito Flamejante explode ao impacto ou no local alvo, causando dano adicional e abrasando a terra por um curto período de tempo."
Descida do Dragão,"Shyvana se transforma em dragão e voa em direção ao local alvo. Inimigos em seu caminho recebem dano e são lançados na direção de seu local alvo.

Shyvana passivamente recebe Fúria por segundo e recebe 2 de Fúria em ataques básicos."
Sona,a Mestra das Cordas
Power Chord,"Accelerando: Sona recebe Aceleração permanentemente para as Habilidades básicas (exceto a ultimate), caso use-as corretamente, até um limite. Depois disso, o uso bem-sucedido reduz o Tempo de Recarga restante da ultimate.

Power Chord: depois de algumas Habilidades conjuradas, o próximo Ataque de Sona causará Dano Mágico adicional e um efeito extra com base na última Habilidade básica ativada por ela."
Hino do Valor,"Sona toca o Hino do Valor, conjurando rajadas de som, causando Dano Mágico a dois inimigos próximos, priorizando Campeões e monstros. Sona recebe uma aura temporária que concede dano adicional no próximo ataque de aliados próximos contra inimigos."
Ária da Perseverança,"Sona toca a Ária da Perseverança, conjurando melodias protetoras, curando a si mesma e a um aliado ferido próximo. Sona recebe uma aura temporária que concede um escudo momentâneo a aliados marcados pela área."
Canção da Celeridade,"Sona toca a Canção da Celeridade, concedendo Velocidade de Movimento adicional a aliados próximos. Sona recebe uma aura temporária que concede Velocidade de Movimento adicional a Campeões aliados marcados pela área."
Crescendo,"Sona toca o seu melhor acorde, causando Dano Mágico, atordoando Campeões inimigos e forçando-os a dançar. Cada nível dessa habilidade reduz o Tempo de Recarga base das habilidades básicas de Sona."
Salvação,Soraka corre mais rapidamente em direção a aliados com pouca Vida.
Chamado Estelar,"Uma estrela cai do céu no local-alvo, causando Dano Mágico e reduzindo a velocidade de inimigos. Se um Campeão inimigo for atingido por Chamado Estelar, Soraka regenera Vida."
Infusão Astral,Soraka sacrifica parte de sua própria Vida para curar outro Campeão aliado.
Equinócio,"Cria uma área em um local, silenciando todos os inimigos dentro dela. Quando a área expira, os que ainda estiverem dentro são enraizados."
Desejo,"Soraka enche seus aliados de esperança, instantaneamente restaurando Vida para si mesma e Campeões aliados."
Shen,o Olho do Crepúsculo
Skarner,a Vanguarda de Cristal
Espirais Cristalinas,"A presença de Skarner faz com que cristais apareçam em locais específicos do mapa, podendo ser capturados por qualquer equipe que ficar sobre eles. Skarner recebe Velocidade de Movimento, Velocidade de Ataque e Regeneração de Mana aumentada quando estiver próximo a cristais capturados por sua equipe."
Corte de Cristal,"Skarner ataca com suas garras, causando Dano Físico a todos os inimigos próximos e se carregando com Energia do Cristal por vários segundos caso uma unidade seja atingida. Se ele lançar Corte de Cristal novamente enquanto estiver fortalecido pela Energia do Cristal, causará Dano Mágico adicional."
Exoesqueleto Cristalino,"Skarner recebe um escudo e, enquanto este persiste, sua Velocidade de Movimento aumenta."
Fratura,Skarner invoca uma explosão de energia cristalina que causa dano e lentidão aos inimigos atingidos. Ataques básicos nestes inimigos dentre um curto período de tempo os atordoará.
Empalar,"Skarner suprime um campeão inimigo e causa dano a ele. Durante este período, Skarner pode mover-se livremente e arrastará sua vítima indefesa com ele. Quando o efeito acabar, o alvo receberá dano adicional."
Sivir,a Mestra da Batalha
Singed,o Químico Louco
Corrente de Ar Nociva,"Ao passar por Campeões próximos, Singed ganha Velocidade de Movimento."
Rastro de Veneno,"Deixa um rastro de veneno atrás de Singed, causando dano aos inimigos que passam por este caminho."
Mega Adesivo,"Joga um frasco de Mega Adesivo no chão, reduzindo a velocidade e prendendo os inimigos que pisam nele."
Lançar,"Causa dano ao inimigo alvo e o arremessa pelo ar para trás de Singed. Se o alvo que Singed arremessar aterrissar em seu Mega Adesivo, ele ficará enraizado."
Sion,o Colosso Morto-Vivo
In Gloria Mori,"Após ser abatido, Sion será reanimado temporariamente, mas sua Vida decairá rapidamente. Seus ataques ficarão muito rápidos, curando e causando dano adicional com base na Vida máxima do alvo."
Golpe Demolidor,"Sion carrega um poderoso golpe em uma área à sua frente que causará dano a inimigos quando lançado. Caso carregue por tempo suficiente, também arremessará ao ar e atordoará os inimigos atingidos."
Fornalha da Alma,"Sion se protege e pode reativar após 3 segundos para causar Dano Mágico a inimigos próximos. Quando Sion abate inimigos, ele recebe Vida máxima passivamente."
Urro do Assassino,"Sion dispara uma onda de choque de curto alcance que causa dano e reduz a velocidade e Armadura do primeiro inimigo atingido. Se ela atingir uma tropa ou monstro, o mesmo será arremessado para trás, causando dano e reduzindo a velocidade e Armadura de todos os inimigos que atravessar."
Investida Incontrolável,"Sion avança em linha reta, acelerando ao longo do tempo. Ele pode guiar levemente sua investida com o cursor do mouse na posição. Ao colidir com um inimigo, ele causa dano e o arremessa ao ar com base na distância percorrida."
Shaco,o Bufão Demoníaco
Apunhalar,Os ataques básicos de Shaco e Veneno de Dois Gumes causam dano adicional ao atingirem o inimigo por trás.
Enganar,"Shaco fica Invisível e se teleporta para o local-alvo.

Seu primeiro ataque enquanto está Invisível é fortalecido, causando dano adicional e crítico ao atingir o inimigo por trás."
Caixinha-Surpresa,"Shaco cria uma Caixinha-Surpresa escondida. Quando ativada, ela causará temor e atacará inimigos próximos."
